0.75 7.313 -375.97715435 
1.25 11.365 -790.77883605 
1.75 7.787 -1302.76441925 
2.25 -2.259 -1793.1165325499999 
2.5 -9.615 -2137.2220744 
2.75 -16.988 -2535.5191641499996 
3.25 -34.11 -3023.00773565 
3.75 -54.669 -3545.29030135 
4.25 -77.945 -4223.93009465 
4.75 -103.654 -5030.595703699999 
5.25 -131.771 -5978.3888129 
5.75 -161.43 -7061.3567857 
6.25 -192.44 -8213.8342937 
6.75 -224.74 -9557.5218634 
7.25 -257.882 -11048.721062399998 
7.75 -291.865 -12668.426602999998 
8.25 -327.061 -14435.124020449999 
8.75 -362.858 -16346.0380328 
9.25 -398.816 -18412.1618947 
9.75 -435.024 -20631.063556949997 
10.25 -471.423 -22988.93525635 
10.75 -507.679 -25509.83270535 
11.25 -543.511 -28203.1016414 
11.75 -578.864 -30994.6626304 
12.5 -631.067 -35612.16300949999 
13.5 -697.515 -42222.07066245 
14.5 -760.508 -49433.87126579999 
15.5 -819.955 -57233.835509549994 
16.5 -875.796 -65629.5537408 
17.25 -915.021 -72176.94399999999 
17.5 -928.296 -74531.96196425 
18.0 -954.458 -79126.4069092 
18.5 -978.118 -83668.72950939999 
18.75 -989.63 -86205.2783718 
19.25 -1012.485 -91093.89339679999 
19.75 -1034.621 -96125.20498595 
20.299999999999997 -1058.149 -101765.3330204 
21.549999999999997 -1109.162 -115181.51668589999 
25.0 -1228.388 -155418.0839561 
30.0 -1322.644 -218021.74680614998 
35.0 -1340.725 -283406.93844224996 
40.0 -1287.496 -347948.52281875 
45.0 -1169.579 -408317.72085299995 
50.0 -995.184 -461546.6087624 
55.0 -774.139 -505091.73380294995 
60.0 -517.609 -536889.7670079999 
65.0 -236.952 -555523.0884735 
70.0 55.406 -560119.7595279999 
75.0 346.64 -550427.7296532 
80.0 623.84 -526826.07490485 
85.0 873.895 -490275.26839059993 
90.0 1084.634 -442389.77889995 
95.0 1245.037 -385402.72773765 
100.0 1344.788 -322044.29607035 
105.0 1374.881 -255519.12059834998 
110.0 1327.799 -189439.38278264998 
114.85 1200.672 -129270.07369535 
117.5 1087.779 -98090.9381718 
118.1 1060.969 -91773.2392689 
118.7 1032.897 -85617.22260455 
119.3 1003.457 -79630.64523889999 
119.9 972.8 -73820.97983925 
120.5 940.894 -68194.13981554999 
121.1 907.762 -62756.12683759999 
121.7 873.421 -57510.90279199999 
122.3 837.813 -52462.92970449999 
122.9 801.051 -47613.815865699995 
123.5 762.64 -42963.51224235 
124.1 721.715 -38518.2264439 
124.7 677.828 -34286.804068649995 
125.3 630.978 -30288.760350099998 
125.85 585.95 -26851.029385949998 
126.35 543.886 -23924.244500099998 
126.85 501.442 -21190.601586 
127.35 458.941 -18652.493466249998 
127.85 416.715 -16310.704672849999 
128.35 374.995 -14166.08838435 
128.6 354.198 -13213.254657049998 
128.85 332.983 -12166.492836049998 
129.35 291.768 -10385.467902949998 
129.6 271.298 -9657.2751072 
129.76 257.691 -9066.5617378 
130.09 231.43 -8088.6425997999995 
130.42000000000002 204.516 -7134.97530725 
130.85 171.353 -5998.011919549999 
131.35 134.094 -4826.7742901 
131.85 99.143 -3606.9643232 
132.35 67.086 -2657.18046405 
132.85 38.585 -1780.103108 
133.35 14.996 -833.4671834999999 
